Title,"Early Childhood Health, Development, and Nutrition Q&A (LMIC Settings)",,,,,,,,,
Version,2,,,,,,,,,
Date Updated,December 2025,,,,,,,,,
Compiled by,Healthcare Professional Expert in Early Child Development (0–5 yrs),,,,,,,,,
Sources,"WHO/UNICEF IMCI Guidelines, East Africa MoH Child Health Protocols, LMIC CHW Manuals",,,,,,,,,
Language,Neutral International English,,,,,,,,,
Formatting,"Bold headers, wrapped text, alternating row shading",,,,,,,,,
Use Case,"Parental education, CHW training, and app/database integration in LMIC settings",,,,,,,,,
,,,,,,,,,,
Age Group,Category,Question,LMIC Guidance for Community Health Workers' Assessment,Green (Normal),Yellow ( Monitor),Orange (Urgent),Red (Emergency),When to Go to Clinic (When the answer is either orange or red),LMIC Guidance (Parent-Friendly) (When the answer is yellow),Preventive Reminder (When the answer is either yellow or green)
6–24 months,Health,Is the child coughing or breathing fast? Any chest indrawing or noisy breathing?,Count respiratory rate per age; assess hypoxia; classify per IMCI; give first dose antibiotic if pneumonia suspected; oxygen if needed; refer if severe.,"Occassional cough, no fast breathing; active; feeding well",Mild cough/cold,Cough >2 weeks or fast breathing without distress; mild chest indrawing when upset.,"Fast breathing with chest indrawing at rest, grunting, cyanosis, or inability to drink.",Refer to a health facility urgently if breathing is fast or difficult.,Keep your child comfortable and away from smoke. Offer fluids often and Refer or advise caregiver to seek care if breathing looks hard or ribs pull in.,Reduce indoor smoke; PCV/pertussis vaccine adherence.
6–24 months,Health,Does the child have diarrhea? How many times per day? Any blood or dehydration signs?,Assess dehydration; ORS Plan A/B; zinc 20 mg/day (6–59 months); test for malaria if fever; antibiotics for dysentery; refer if severe dehydration.,No loose stools; feeding well,3–4 loose stools/day,Many watery stools; thirst; dry mouth; fewer wet nappies.,"Blood in stool, sunken eyes, lethargy, drinks poorly or vomits everything.",Refer to a health facility if there is blood in stool or signs of dehydration.,Give ORS after each loose stool and continue feeding. Give zinc for 10–14 days if provided by a health worker.,"Safe water, handwashing with soap, clean feeding utensils."
6–24 months,Health,Does the child have ear pain or discharge? For how long? Any fever or swelling behind the ear?,Assess for AOM/otorrhea; treat pain/fever; antibiotics per guidelines if AOM; topical therapy for chronic suppurative otitis media; refer if mastoiditis signs.,"No ear tugging, no ear discharge, no fever",Brief tugging with a cold,Ear pain with fever or discharge but child playful.,"Severe pain, swelling behind ear, high fever, or child very ill.",Go for care within 24 hours for ear pain; urgently if swelling or high fever.,Keep the ear dry and do not insert objects. Refer or advise caregiver to seek care for pain or any discharge.,Avoid bottle propping; keep nose clean; follow-up if discharge persists.
6–24 months,Health,Has the child been dewormed recently? Are there signs of worms or poor appetite/weight loss?,"Follow national deworming policy (e.g., albendazole/mebendazole from 12 months; 6‑ or 12‑monthly in high-risk areas). Screen for anemia; treat and counsel on hygiene.",No tummy pain/discomfort,Occasional tummy discomfort; otherwise well.,"Poor appetite, mild weight loss, visible worms in stool.","Severe anemia signs (pale palms), swollen belly, vomiting worms.",Go for deworming advice if appetite/weight are poor; urgently if severe symptoms.,Deworming helps children grow and play better. A health worker can tell you when your child should take the medicine.,"Handwashing, short nails, safe latrines; promote footwear where hookworm risk exists."
6–24 months,Development,Can the child stand with support or walk alone appropriate for age?,Examine tone/reflexes; check for rickets/iron deficiency; consider CP/neuromuscular issues; early intervention referral as needed.,Stands with support by ~10 months; walks by ~15 months.,Not walking by 18 months; unusual walking pattern.,Not bearing weight by 12 months; very stiff/floppy.,,Go for assessment if not walking by 18 months or not standing by 12 months.,Give your child safe space to cruise and practice steps. Hold hands and encourage short walks.,Sunlight exposure and diet with vitamin D/calcium; safe play areas.
6–24 months,Development,Does the child respond to name and use simple words for age?,Screen hearing; assess language and social communication; check for chronic ear disease; refer for speech/hearing evaluation or developmental clinic.,Says a few single words by 12–15 months; follows simple commands by ~18 months.,No single words by 18 months; limited understanding; few gestures.,No response to name/sound; no babble by 12 months; regression of skills.,,Refer to a health facility if no words by 18 months or no response to sound.,"Talk, sing, and read simple picture books daily. Use short, clear phrases and name everyday objects.",Limit screen time; increase caregiver–child interaction and book sharing.
6–24 months,Development,"Does the child play, imitate, and explore toys or people around them?",Coach responsive caregiving; observe joint attention; screen for ASD if concerns; provide community referral pathways.,Imitates actions; explores; brings objects to show.,Limited play variety; prefers repetitive actions only.,No interest in people/toys; no eye contact.,,Seek assessment if child avoids interaction or stops doing skills they had.,"Play simple games like rolling a ball, stacking cups, and naming objects. Praise small efforts and make play part of daily routines.",Daily playtime; simple homemade toys; encourage other children’s play.
6–24 months,Development,"Does the child use both hands equally to grasp, feed, and stack objects?",Assess fine motor skills; check vision; address hemiparesis; provide early therapy advice; refer if significant delay.,Feeds self with fingers; stacks 2–3 blocks by ~18 months.,Messy feeding; drops objects often; limited pincer grasp by 12–15 months.,Avoids using one hand entirely; no purposeful grasp by 12 months.,,Go for assessment if hand use is very limited or clearly one-sided.,Offer soft finger foods and let your child practice. Give safe cups and blocks for practice.,Encourage self-feeding; provide cups/spoons suited to small hands.
6–24 months,Development,"Does the child have frequent tantrums, sleep problems, or difficulty calming down?","Assess for sleep, nutrition, family stressors; coach positive parenting; rule out iron deficiency or neurodevelopmental disorders; refer if concerning.",Short tantrums; calms with comfort; normal separation protest.,Frequent long tantrums; sleep problems; biting/hitting often.,Hurts self/others seriously; loss of skills; no response to comfort.,,"Refer or advise caregiver to seek care if behavior is severe, persistent, or skills regress.","Keep routines steady, offer choices, and praise calm behavior. Comfort your child during new situations.",Regular routines; outdoor play; avoid harsh discipline.
6–24 months,Nutrition & Feeding,Has the child started complementary foods at 6 months? What types and how often?,"Counsel on frequency, diversity, and texture; Advise caregiver to continue breastfeeding; manage feeding difficulties; monitor growth closely.",Start at 6 months with soft mashed foods while continuing breastfeeding.,Started before 6 months or delayed after 6 months; limited variety.,Not starting solids by 9 months; choking episodes; weight faltering.,,Go for counseling if solids are not started by 9 months or weight drops.,"Begin with soft porridge, mashed vegetables, beans, and small amounts of animal-source foods if available. Offer 2–3 meals/day plus snacks.",Add oil/groundnuts/egg to increase energy; use clean utensils.
6–24 months,Nutrition & Feeding,Is the child eating a variety of foods? Are there feeding difficulties or refusal?,"Assess for anemia, oral problems, or illness; provide responsive feeding counseling; consider micronutrient supplementation per policy.",Good appetite daily; steady weight gain/growth,Appetite varies day to day; growth steady.,Prefers few foods; refuses new textures; slow meals.,Persistent refusal with weight loss or illness signs.,Refer or advise caregiver to seek care if poor intake lasts >1 week or weight is dropping.,Offer small portions often and eat together. Keep mealtimes calm and try foods many times in different ways.,"Regular growth checks; iron‑rich foods (beans, eggs, meat if available)."
6–24 months,Nutrition & Feeding,How many meals and snacks does the child eat daily? Are portions age-appropriate?,Reinforce age‑appropriate frequency and portion sizes; encourage animal-source foods where possible; monitor growth.,6–8 months: 2–3 meals + 1–2 snacks; 9–24 months: 3–4 meals + 1–2 snacks.,,Too few meals; mostly thin porridge; little protein.,Refuses most foods; visible wasting or edema.,Go for assessment if eating very little with weight loss.,Offer meals at regular times and include varied foods. Advise caregiver to continue breastfeeding on demand.,Keep a simple meal schedule posted at home; include fruits/vegetables daily.
6–24 months,Nutrition & Feeding,"Does the child eat iron-rich foods like beans, greens, eggs, or meat when available?","Screen for anemia; treat per protocol (iron, deworming); counsel on diet and malaria prevention in endemic zones.","Eats diverse diet including beans, dark greens, eggs; active and playful.",,Mostly starches; pale palms; gets tired easily.,"Very pale, weak, swollen feet, or breathless.","Go for testing if your child is very pale, weak, or not improving with better diet.","Offer beans, peas, lentils, dark green leaves, eggs, and meat/fish if available. Give vitamin C foods (oranges, tomatoes) with meals.",Deworming as per policy; malaria prevention; iron-rich foods routinely.
6–24 months,Nutrition & Feeding,Does the child drink excessive milk that replaces other foods?,Counsel to limit excess milk to avoid iron deficiency and appetite suppression; assess for lactose intolerance or allergy if symptoms.,1–2 cups/day along with solid foods; eats varied diet.,,Milk replaces meals; constipation; picky eating worsens.,Vomiting after any food/drink with dehydration,Refer or advise caregiver to seek care if child relies mostly on milk or reacts to milk.,"Milk can be part of the diet, but meals and snacks are also needed. Offer milk after meals, not before.",Promote balanced meals first; brush teeth twice daily.
,,,,,,,,,,
2–5 years,Health,Does the child have frequent coughs or colds? Are there breathing difficulties or prolonged coughs?,"Assess for chronic cough, asthma, TB exposure; measure RR, SpO₂; treat per IMCI; refer if severe.","No coughs, no breathing difficulties",Several mild colds/year; recovers in a few days; active.,Cough >3 weeks; wheeze with play; night cough.,"Breathing difficulty, chest indrawing, high fever, lethargy.",Refer to a health facility if cough lasts >2–3 weeks or breathing is hard.,Most children get colds. Give fluids and rest and keep away from smoke. Refer or advise caregiver to seek care if breathing becomes fast or the cough does not settle.,Avoid smoke; ensure vaccines current; seek TB screening if exposure.
2–5 years,Health,Does the child hear and see clearly during daily activities?,Screen hearing and vision; check ears for wax/chronic infection; red reflex; refer to audiology/ophthalmology if needed.,Sees well and hears well,Turns up sound; squints or sits very near; bumps into objects.,,No response to loud sounds; frequent falls; eye crossing/white reflex.,Go for auditory/vision assessment if vision/hearing problems are present,Watch how your child responds to voices and objects. Visit a health center if they struggle to hear or see clearly.,Treat ear infections early; keep screening at school entry.
2–5 years,Health,Has the child been dewormed? Are there signs of worms or anemia?,Follow national deworming schedule; treat anemia; counsel hygiene and footwear; consider schistosomiasis risk by locale.,Recently dewormed,Occasional tummy aches; otherwise well.,Passing many worms,"Very pale (dizziness, fainting); swollen belly; severe pain.",Refer to a health facility for deworming guidance; urgently if severe symptoms.,Deworming helps children grow. Teach handwashing and use of latrines. Go for advice if appetite is poor or belly is swollen.,Regular handwashing; nails short; safe toilets; footwear where needed.
2–5 years,Health,"Does the child appear unusually tired, pale, or weak during play?","Evaluate for anemia, undernutrition, chronic illness; check diet diversity; deworm; manage per findings; refer if severe.",Active most days; normal sleep and play.,,Tires easily; pale palms; frequent infections.,"Very weak, breathless, swollen feet, or weight loss.",Refer to a health facility if fatigue is persistent or severe.,Offer regular meals and sleep routines. Refer or advise caregiver to seek care if your child looks pale or becomes weak.,Iron‑rich foods and deworming per policy; growth monitoring.
2–5 years,Health,"Does the child have tooth pain, cavities, or difficulty eating?",Provide fluoride toothpaste advice; assess for dental caries; analgesia/antibiotics only if infection; refer to dental services.,"No tooth pain, no cavities, brushes teeth, eats well","Small spots, poor brushing of teeth, mild pain",Tooth pain when eating; visible cavities; bad breath.,"Facial swelling, fever, spreading infection or inability to eat.",Go to a dental/health center if pain persists or there is swelling/fever.,Brush teeth twice daily and limit sugary drinks and snacks. Visit a clinic if a tooth hurts or a hole is seen.,Rinse after sweets; schedule routine dental checks if available.
2–5 years,Development,Can the child speak in short sentences and be understood by caregivers?,Assess hearing; screen language/articulation; check for chronic ear disease; refer for speech–language therapy as available.,Understood by familiar people; speaks short sentences by 3–4 years.,Often hard to understand at 4 years; limited vocabulary.,Not speaking in sentences; cannot follow simple instructions.,,Go for assessment if speech is unclear at 4 years or understanding is poor.,Talk face-to-face and give time to answer. Read picture books and repeat new words in daily routines.,Limit background noise; regular conversation and book sharing.
2–5 years,Development,Does the child play and interact with others appropriately for age?,Screen for ASD; observe joint attention and social reciprocity; coach caregivers on social play; refer to developmental services.,Parallel play at 3 years; begins cooperative play by 4–5 years.,Prefers to be alone; limited pretend play; rigid routines.,No eye contact; no interest in peers; repetitive behaviors with distress.,,Seek assessment if social interaction is very limited or causes distress.,Invite simple games with other children and model sharing. Keep routines but allow small changes.,Daily outdoor play with peers; reduce screen time; praise sharing.
2–5 years,Development,Is the child toilet trained during the day? Any frequent accidents?,Assess constipation/UTI; support behavioral toilet training; investigate if neurological signs; refer if persistent.,Daytime trained by ~3 years; night wetting may continue up to 5 years.,Frequent daytime accidents at 4 years; constipation.,"Painful urination, blood, persistent incontinence after 5 years.",,Go for assessment if accidents are frequent or painful urination occurs.,Take your child to the toilet regularly and praise small successes. Avoid punishment for accidents.,Adequate fiber/water; scheduled toilet times; calm routine.
2–5 years,Development,Does the child have difficulty focusing or sitting quietly during simple tasks?,Assess sleep/nutrition; observe across settings; coach positive behavior strategies; consider neurodevelopmental evaluation if impairment.,Short attention span improves with age; can follow simple rules.,Very distractible at home and preschool; disrupts play.,Unsafe impulsivity; aggression; loss of skills.,,Refer or advise caregiver to seek care if behavior affects safety or learning.,"Use short, clear instructions and break tasks into small steps. Give active play time outdoors daily.",Consistent routines; positive attention; limit sugary drinks and screen time.
2–5 years,Development,"Can the child follow simple instructions, name objects, and engage in learning play?",Promote early literacy/numeracy through play; screen hearing/vision; address developmental delays; refer for support services.,"Can name objects, colors; follows 2-step commands; draws simple shapes.",Struggles with simple instructions; limited interest in books.,Loses skills or cannot understand simple language.,,Seek assessment if understanding or skills decline.,Read and talk about pictures daily. Let your child draw and sort objects by color and size.,Daily story time; simple counting games; praise efforts.
2–5 years,Nutrition & Feeding,Does the child eat three meals and healthy snacks daily? Any feeding issues?,Assess diet diversity and illness; screen for anemia; provide responsive feeding counseling; treat underlying issues.,Appetite varies; growth steady; active.,Small portions for many days; limited variety.,Refuses most foods; weight loss or illness signs.,,Go for assessment if poor intake lasts >3-4 days or weight drops.,Offer small meals and healthy snacks. Eat together and keep mealtimes calm and regular.,"3 meals + 2 snacks daily; include protein, vegetables, and fruit."
2–5 years,Nutrition & Feeding,"Does the child eat foods from all main groups: staples, protein, vegetables, and fruit?",Counsel on food groups and portions; address affordability with local options; monitor growth.,"Eats from all groups: staple, legumes, vegetables, fruit, animal-source if available.","Eats from all groups: staple, legumes, vegetables, fruit, animal-source if available.",Only porridge/tea; visible wasting/edema.,,Refer or advise caregiver to seek care if weight is dropping or child seems weak.,"Give 3 meals and 2 snacks with different foods and colors. Add beans, eggs, or fish/meat if available.",Add a spoon of oil or groundnuts to increase energy; safe food hygiene.
2–5 years,Nutrition & Feeding,"Does the child consume sugary foods or drinks frequently, replacing main meals?",Counsel on caries prevention and nutrition; address appetite suppression by sugary drinks; refer to dental if caries or pain.,Occasional treats; regular brushing; meals not replaced by sweets.,Frequent sweets; refuses meals; dental spots.,"Severe tooth decay, pain, or infection; poor eating.",,Go to a health/dental center if teeth hurt or eating is affected.,Limit sugary drinks and juices. Offer water and milk and keep sweets as small occasional treats.,Brush teeth twice daily with fluoride toothpaste; routine dental checks if available.
2–5 years,Nutrition & Feeding,"Does the child drink one to two cups of milk daily with meals, not replacing other foods?",Limit excess milk to prevent iron deficiency and poor intake; assess for intolerance/allergy if symptoms; diversify diet.,About 1–2 cups/day with meals; eats varied foods.,Milk before meals reduces appetite; constipation occurs.,Only milk diet; poor growth; vomiting/diarrhea after milk.,,Refer or advise caregiver to seek care if child relies mostly on milk or reacts to milk.,"Serve milk after meals, not before. Encourage water between meals.",Prioritize balanced meals; iron‑rich foods daily.
2–5 years,Nutrition & Feeding,Has the child lost weight or failed to gain recently? Any swelling or fatigue?,Assess for acute/chronic malnutrition (MUAC/WHZ); deworm; check anemia/infections; provide nutrition support and follow-up; refer if severe.,Active and playful; eating varied foods; stable growth line.,Slightly underweight; clothes looser; recent illness.,Weight loss,"Swelling (edema), or very weak.",Refer to a health facility for assessment if weight is falling or swelling appears.,"Offer extra meals and add energy-dense foods like oil, groundnuts, eggs, or beans. Encourage frequent small portions.",Regular growth monitoring and prompt illness treatment.
